"","Total_strokeNo","Total_strokeRate","Descent_strokeNo","Descent_strokeRate","Ascent_strokeNo","Ascent_strokeRate","Total_strokeIntensity","Total_strokeIntensityPerStroke","Descent_strokeIntensity","Descent_strokeIntensityPerStroke","Ascent_strokeIntensity","Ascent_strokeIntensityPerStroke","Total_pitch","Descent_pitch","Ascent_pitch","Total_speed","Descent_speed","Ascent_speed","Total_glide","Descent_glide","Ascent_glide","Total_ODBA","Descent_ODBA","Ascent_ODBA","Bottom_ODBA","DiveNo","Duration","MaxD","Vair","VairRaw","minMSE_w","initial_depth","glide_duration","avg_pitch","avg_speed","r_sq","p","...38","initial_v","min_v","d_min_v","LMintercept_d","LMgradient_d","LMintercept_d_E","LMgradient_d_E","LMintercept_calc","LMgradient_calc","LMintercept_calc_E","LMgradient_calc_E","LMgradient_d_rsq","LMgradient_calc_rsq","total_stroke","Day","Individual","body_density"
"1279",1036,0.872053872,19,0.089201878,481,1.507836991,67.37223649,0.065031116,1.11564697,0.058718262,40.54710261,0.084297511,7.792798592,-60.93412175,65.07800865,1.682909831,1.983193089,1.577376271,429.76,199.32,5.52,45.40144714,12.00333206,14.11155494,19.28656014,58,1189,460.7518921,27.73109244,0.0066,0.037930174,25.764071,19,-72.29809121,1.391748205,0.516070325,0.000531089,58,1.5048342,1.3268286,25.764071,0.163556978,-0.00083539,0.002879988,0.000291885,0.138567325,0.033019293,0.004950449,0.009653259,0.803755163,0.854015105,0.310890624,10,6,1035.689
"1280",941,0.750398724,49,0.195219124,521,1.488571429,59.21664605,0.062929486,2.345201887,0.047861263,41.19721511,0.07907335,8.1473553,-53.73524489,57.84561854,1.641242817,2.068583326,1.533836869,538.36,213.88,3.28,43.81341281,6.45546863,13.91303565,23.44490853,59,1255,458.5718079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.208788722,-0.007356697,0.031187898,0.003119205,0.005160594,0.254166336,0.070490997,0.132209219,0.581703798,0.480238336,0.348630326,10,6,1035.689
"1281",970,0.669427191,52,0.191176471,467,1.419452888,61.37083886,0.063268906,2.193619426,0.042184989,40.94017218,0.087666322,6.727062607,-58.4189451,54.53861386,1.668902726,2.052229297,1.515321832,688.76,225.8,6.32,111.1719175,29.20242594,19.08721745,62.88227411,60,1450,481.1210327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.183957102,-0.001967104,0.016410587,0.001667994,0.123577177,0.079332545,0.031129371,0.058192149,0.316753675,0.38253168,0.370851316,10,6,1035.689
"1282",1037,0.864887406,23,0.078498294,568,1.448979592,71.51370013,0.068962102,1.272085486,0.055308065,46.20573899,0.081348132,6.52759607,-54.82485104,53.99317129,1.64656928,1.983213383,1.560420712,436.76,275.08,8.72,76.39786049,17.1915226,18.53069845,40.67563944,61,1200,589.3710938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.149710742,-7.47e-05,0.014574365,0.001346998,0.144401384,0.009051621,0.028218914,0.055768868,0.000767303,0.00654272,0.365350169,10,6,1035.689
"1283",1151,0.885384615,28,0.098939929,515,1.51026393,82.89439254,0.072019455,1.443045707,0.051537347,48.60725633,0.094383022,5.990468197,-57.54733803,64.66008272,1.678101356,2.035740938,1.57535095,484.12,256.96,3.68,241.8605325,21.66676834,95.25419567,124.9395685,62,1301,640.0266724,27.31092437,0.0065,0.045981588,27.08176,18,-74.15886517,1.394822833,0.422931344,0.00347665,62,1.4803625,1.2938645,27.08176,0.165735836,-0.001141348,0.004875937,0.000485188,0.134493449,0.038813856,0.010188143,0.019250967,0.580436137,0.504034331,0.379307142,10,6,1035.689
"1284",1116,0.907317073,47,0.163763066,558,1.488,77.17552762,0.069153699,2.718997419,0.057851009,49.63517957,0.088951935,4.063629677,-60.81124244,58.13019886,1.710606796,2.04456834,1.547924827,426.96,245.32,4.76,189.1073486,73.40041781,36.98995316,78.71697763,63,1231,617.548584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.160045636,-0.002234656,0.016911374,0.001695476,0.100079651,0.073961532,0.036012724,0.068324982,0.302790041,0.226574583,0.340854594,10,6,1035.689
"1285",1036,0.853377265,23,0.08778626,592,1.46898263,73.83804404,0.071272243,1.287546277,0.055980273,51.79192217,0.087486355,5.980497017,-59.90843467,58.92254096,1.63950632,2.034017406,1.510212607,451.2,242.36,4.16,130.762329,23.67819416,50.6667897,56.41734514,64,1215,569.5212402,26.05042017,0.0062,0.017814585,29.816946,15,-71.09147233,1.445223227,0.385425099,0.013518468,64,1.4944603,1.4178997,29.816946,0.155017412,-0.000551093,0.005884174,0.000570433,0.137554428,0.023313785,0.010351202,0.019814153,0.189190205,0.25711884,0.36651273,10,6,1035.689
"1286",1112,0.847560976,26,0.093862816,679,1.420502092,76.45293745,0.068752642,1.436905079,0.05526558,56.36955369,0.083018489,4.117156886,-58.58710415,52.95708056,1.641089639,2.032313204,1.485959436,494.44,255.6,7.84,193.0396759,37.72411453,76.03853707,79.2770243,65,1313,591.644165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.168883273,-0.002490272,0.024855451,0.002593826,0.099441369,0.087398164,0.05245782,0.097167042,0.187280454,0.168232084,0.360252334,10,6,1035.689
"1287",1102,0.810294118,27,0.115879828,575,1.455696203,74.80074999,0.067877269,1.375230456,0.050934461,52.54261945,0.091378469,7.322898575,-56.32376106,55.26224827,1.652674975,1.965064693,1.504306489,497.68,209.24,1.44,204.0070373,35.05985486,55.05237973,113.8948027,66,1361,527.5328369,21.00840336,0.005,0.032916077,29.961752,16,-66.54930331,1.434243156,0.220402555,0.066552398,66,1.3848681,1.3848681,29.961752,0.158618815,-0.002526613,0.006822998,0.000648236,0.083642373,0.097070004,0.013589194,0.026312575,0.791578434,0.772850371,0.326932091,10,6,1035.689
"1288",1057,1.007626311,23,0.081560284,552,1.483870968,77.04040321,0.072885907,1.150920983,0.050040043,49.76184817,0.090148276,11.98908884,-55.71374604,64.60087019,1.663572984,2.003364899,1.532414952,305.68,263.04,2.84,149.6008566,40.66308958,53.68617699,55.25159003,67,1050,602.3916016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.132791983,-0.000451544,0.017383756,0.001576374,0.113968088,0.028365364,0.032200791,0.064511036,0.020100306,0.046105124,0.314317472,10,6,1035.689
